ID,start.time,completion.time,email,sector.of.work,organization.of.work,country.work,Biodiversity and conservation,Natural resources and ecosystem services,Human health and wellbeing,Nature education and recreation,Equity diversity and inclusion and access to nature,Policy,Other,work.,Policy2,Management,Academia,Practictioner,engage.more,scale.engagement,Lack.time.resources,Mandate-recognition,Mandate-funding,Networking,Access and Knowledge,Past negative experiences,Scale mismatch,Lack of interest/not relevant,additional.barriers,stage.barrier,Briefly explain your experience with these barriers,explain.project,markers.success,Existing personal connection,Direct engagement,Funding opportunity,Student research,Place-based engagement,additional.markers.success,change1,feasibility1,change2,feasibility2
25,9-20-23 8:30:56,9-20-23 8:53:40,anonymous,Research,Academia ,Canada,Primary importance,Primary importance,Tertiary importance,Tertiary importance,Not applicable,Primary importance,,45,"Very often (e.g., weekly to monthly)","Very often (e.g., weekly to monthly)","Very often (e.g., weekly to monthly)","Very often (e.g., weekly to monthly)",Yes - with senior policy-makers in municipal and provincial governments,"Local municipal (for example, city pollinator protection plan, neighbourhood initiatives)",Not important,Not applicable,Not important,Not important,Not important,Not important,Not important,Not important,Bureaucrats' fear of losing control;,Beginning- getting a project/idea off the ground,"A major factor in getting exciting and important things done in the world is one's success in getting other people to adopt your own agenda. Pretty much everyone engages in this behaviour. If one has great ideas and needs collaboration to implement them, then one needs to persuade others to engage. This requires inordinate amounts of time and effort - people don't want to be bothered, or they are actually trying to get you to adopt their individual agendas. Once the right collaborators are in the proverbial canoe, great things can happen.","Revision and adoption of a new policy on conservation of old-growth forests on Crown land in Nova Scotia. 2019-2022. The team included four provincial government staff (wildlife ecologist, landscape ecologist, planning forester, field forester) and a retired professor of resource and environmental studies. The new policy (Aug 2022) is perhaps the most aggressive OGF conservation policy in North America. Consultations with stakeholders and the public were extensive.","Network expansion (broadening your professional network);Successful implementation (on the ground change or improvement);Published output (academic paper, report, etc.);Policy impact (recommendations, proof of concept, policy change, etc.);Community engagement or recognition (event participation, increased visitation, awards);",Very important,Very important,Not applicable,Not applicable,Not applicable,Willing and proficient collaborators - excellent knowledge and negotiation skills,"If energetic and bright people are insistent on cross-sectoral collaboration, they can overcome the institutional barriers (by which I mean rigid boundaries between employment groups and reporting relationships). A culture shift toward a collaborative mindset is necessary. Young professionals seem to have the required attitudes and skills.",3,"We need to stop organizing higher education according to categories invented in the 19th century. Thankfully, many new programs focus on problem domains rather than disciplines. We must watch out, though, that the required breadth of understanding does not compromise depth.",3
26,9-21-23 11:25:36,9-21-23 11:39:14,anonymous,Practictioner,Government,Canada,Primary importance,Secondary importance,Tertiary importance,Tertiary importance,Tertiary importance,Secondary importance,,10,"Very often (e.g., weekly to monthly)","Very often (e.g., weekly to monthly)","Very often (e.g., weekly to monthly)","Very often (e.g., weekly to monthly)","I wish I engaged more substantively with Academia, but I always run out of time :S","Federal (for example, 2 Billion tree program, nature-smart climate solution fund)",Very important,Important,Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not important,,"Middle- actively working together, maintaining momentum, logistical issues","I think past negative experiences with other sectors often colours the willingness of my manager and my colleagues to engage outside of our ""safe space"". I work in conservation, and sometimes there are big advantages to working with non-conservation organizations to advance landscape-scale conservation efforts, but we are sometimes really haunted by bad relations in the past (including recent past!).",Exploring the potential for coastal restoration for storm surge resilience.,"Network expansion (broadening your professional network);Published output (academic paper, report, etc.);Community engagement or recognition (event participation, increased visitation, awards);",Very important,Very important,Somewhat important,Important,Somewhat important,"A willingness to fail. I think the fear of failure really inhibits these kinds of efforts (for good reason!) but if partners go into it accepting the possibility of failure and seeking to learn from that failure, I think we are more likely to see the small successes even when we don't get all the way to the finish line.",It would be interesting to include cross-sectoral partners as a requirement in funding applications -- even if their role is secondary (as reviewers / commenters on the proposed work) it could build in the possibility of deeper collaborations.,4,"Maybe more opportunities to do short work tours with other sectors -- really see what it's like on the inside. I have had that opportunity once in my career and it was really helpful to see how much more similar our organizations were than I had thought -- with many similar aspirations for the future, despite very different on-the-ground purposes.",1
27,9-21-23 14:31:29,9-21-23 15:04:05,anonymous,Research,Government,Canada,Secondary importance,Primary importance,Primary importance,Primary importance,Primary importance,Secondary importance,,15,"Very often (e.g., weekly to monthly)","Very often (e.g., weekly to monthly)","Very often (e.g., weekly to monthly)","Very often (e.g., weekly to monthly)",No; lots going on.,"Federal (for example, 2 Billion tree program, nature-smart climate solution fund)",Important,Not important,Important,Somewhat important,Very important,Important,Somewhat important,Not important,,Beginning- getting a project/idea off the ground,"Getting started encounters the most burdens, particularly to get funding flowing from the federal government, small budgets, and short-term time frames.","Topic:  2 Billion Trees program impacts on human well-being, project doing on for 3 years so far, involved parties include Canadian Forest Service, universities (various), other federal government agencies, NGOs, and Indigenous scholars/experts.","Network expansion (broadening your professional network);Successful implementation (on the ground change or improvement);Published output (academic paper, report, etc.);Future funding opportunities (grant application);Media attention or recognition;Policy impact (recommendations, proof of concept, policy change, etc.);Community engagement or recognition (event participation, increased visitation, awards);",Important,Very important,Very important,Very important,Very important,Major new national program with national program mandate.,"Lots of work being done to overcome barriers - short funding cycles (2 BT has multi-year funding for the social sciences now), access to management staff who make decisions",3,"Increasing number and inclusivity of working groups, horizontal committees",5
28,9-21-23 14:23:34,9-21-23 15:41:26,anonymous,Policy,Government,Canada,Primary importance,Primary importance,Secondary importance,Tertiary importance,Primary importance,Secondary importance,,2,"Very often (e.g., weekly to monthly)","Very often (e.g., weekly to monthly)",Infrequently,"Very often (e.g., weekly to monthly)",More frequent contact with academic and other colleagues outside of government working on common goals could be beneficial ,"Federal (for example, 2 Billion tree program, nature-smart climate solution fund)",Important,Important,Important,Somewhat important,Not important,Not important,Somewhat important,Not important,,Beginning- getting a project/idea off the ground,"Need to design grants and contribution programs with input from all partners, especially to meet the needs of lower capacity applicants",,"Network expansion (broadening your professional network);Successful implementation (on the ground change or improvement);Published output (academic paper, report, etc.);Future funding opportunities (grant application);",Very important,Very important,Somewhat important,Somewhat important,Somewhat important,,,,,
29,9-22-23 10:45:17,9-22-23 10:48:16,anonymous,Policy,Government,canada,Secondary importance,Secondary importance,Secondary importance,Tertiary importance,Tertiary importance,Primary importance,Not applicable,1,"Very often (e.g., weekly to monthly)",Infrequently,"Often (e.g., quarterly)","Often (e.g., quarterly)",yes,"Federal (for example, 2 Billion tree program, nature-smart climate solution fund)",Not important,Important,Important,Not important,Not important,Not important,Not important,Important,,Beginning- getting a project/idea off the ground,,,,,,,,,,interest from senior management / decision-makers,2,,
30,9-22-23 13:55:53,9-22-23 14:03:54,anonymous,Management,Government,Canada,Primary importance,Primary importance,,,,,,12,"Often (e.g., quarterly)","Very often (e.g., weekly to monthly)","Often (e.g., quarterly)","Often (e.g., quarterly)",policy,"Federal (for example, 2 Billion tree program, nature-smart climate solution fund)",Very important,Not applicable,Somewhat important,Important,Not important,Not important,Important,Not applicable,cultural;,"Middle- actively working together, maintaining momentum, logistical issues",everyoneis excited about new ideas but getting things off the ground often more of a commitment than is available,Planting event between federal and non-government organization and involving community volunteers,"Successful implementation (on the ground change or improvement);Media attention or recognition;Community engagement or recognition (event participation, increased visitation, awards);",Not applicable,Very important,Very important,Not applicable,Very important,,staff devoted to developing cross sectoral engagement,1,,
31,9-22-23 16:33:35,9-22-23 16:42:10,anonymous,Policy,Government,Canada,Secondary importance,Secondary importance,Tertiary importance,Tertiary importance,Tertiary importance,Primary importance,,12,"Very often (e.g., weekly to monthly)","Very often (e.g., weekly to monthly)",Infrequently,"Very often (e.g., weekly to monthly)",academia,"Local municipal (for example, city pollinator protection plan, neighbourhood initiatives)",Very important,Important,Very important,Somewhat important,Not important,Somewhat important,Not important,Not important,,Beginning- getting a project/idea off the ground,Mandate funding normally puts a stop to good ideas,adding an environmental planner to our team to liason between province and municipality and add environmental protection to all development projects.,Successful implementation (on the ground change or improvement);,Somewhat important,Very important,Important,Not applicable,Very important,,management to be more open to hearing ideas and possibilities,3,,
32,9-26-23 14:16:04,9-26-23 14:23:16,anonymous,Policy,Government,Canada,Primary importance,Primary importance,Primary importance,Secondary importance,Secondary importance,Primary importance,,23,"Very often (e.g., weekly to monthly)","Very often (e.g., weekly to monthly)",Infrequently,"Very often (e.g., weekly to monthly)",I would like to have more engagement with academia. ,"Local municipal (for example, city pollinator protection plan, neighbourhood initiatives)",Very important,Not applicable,Important,Not applicable,Not applicable,Somewhat important,Somewhat important,Not important,Timing - often i hear from other sectors in a last minute fashion. Not adequate time to participate. ;,Beginning- getting a project/idea off the ground,,Preparation for a strategic Urban Forest Managment Plan,"Successful implementation (on the ground change or improvement);Policy impact (recommendations, proof of concept, policy change, etc.);Community engagement or recognition (event participation, increased visitation, awards);",Important,Very important,Not applicable,Not applicable,Very important,,creation of a position to facilitate cross sectoral engagement,3,,
33,9-27-23 12:53:39,9-27-23 13:01:54,anonymous,Management,Government,Canada,Secondary importance,Primary importance,Tertiary importance,Not applicable,Tertiary importance,Secondary importance,,30,"Very often (e.g., weekly to monthly)","Often (e.g., quarterly)","Very often (e.g., weekly to monthly)","Often (e.g., quarterly)",already very (maybe to) busy... it is a balancing act,"Federal (for example, 2 Billion tree program, nature-smart climate solution fund)",Important,Not important,Important,Not important,Not applicable,Not applicable,Not important,Not applicable,,"Middle- actively working together, maintaining momentum, logistical issues",difficult to answer this in a quantitative way; time is the scarce resource; there are fewer people involved at the working level but often lots of academics,2 billion tree planting; multiple organizations and interests; ongoing and these collaborations started prior to 2BT,"Successful implementation (on the ground change or improvement);Published output (academic paper, report, etc.);Future funding opportunities (grant application);Policy impact (recommendations, proof of concept, policy change, etc.);Community engagement or recognition (event participation, increased visitation, awards);",Very important,Important,Very important,Somewhat important,Somewhat important,Trust,trust; face to face engagement; easier travel,3,,
34,9-28-23 8:09:31,9-28-23 11:19:54,anonymous,Management,Government,Canada,Primary importance,Primary importance,Tertiary importance,Tertiary importance,Tertiary importance,Tertiary importance,,5,Infrequently,"Often (e.g., quarterly)","Often (e.g., quarterly)","Very often (e.g., weekly to monthly)",yes,"Local municipal (for example, city pollinator protection plan, neighbourhood initiatives)",Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,,Beginning- getting a project/idea off the ground,,,,,,,,,,,,,
35,2010-05-23 5:21,2010-05-23 5:27,anonymous,Research,Government,Canada,,Primary importance,Tertiary importance,,,,Secondary importance,7,Infrequently,"Often (e.g., quarterly)","Often (e.g., quarterly)","Often (e.g., quarterly)",yes - policy,"Federal (for example, 2 Billion tree program, nature-smart climate solution fund)",Important,Not important,Important,Somewhat important,Somewhat important,Not important,Not important,Somewhat important,,Beginning- getting a project/idea off the ground,funding may be difficult to identify and typical sources tend to not promote cross-sectional collabs,research project involving partners in academia and another government department,"Future funding opportunities (grant application);Published output (academic paper, report, etc.);",Very important,Somewhat important,Important,Somewhat important,Not important,,funding initiatives specifically towards these kinds of projects,3,,
36,2010-05-23 13:04,2010-05-23 13:17,anonymous,Research,Academia ,Canada,Secondary importance,Primary importance,Tertiary importance,,,,,10,"Often (e.g., quarterly)","Very often (e.g., weekly to monthly)","Very often (e.g., weekly to monthly)","Very often (e.g., weekly to monthly)",The nature of my work makes it a priority to engage with multiple groups - since it's more applied,"Local municipal (for example, city pollinator protection plan, neighbourhood initiatives)",Very important,Important,Important,Important,Very important,Important,Important,Important,,Beginning- getting a project/idea off the ground,"Often to do with finding the right people in different sectors. It is not always easy to find contacts who understand your jargon and vice-versa...sometimes lack of confidence based on your background, age, and gender (e.g., ""female young scientist"")",,"Successful implementation (on the ground change or improvement);Policy impact (recommendations, proof of concept, policy change, etc.);Network expansion (broadening your professional network);Published output (academic paper, report, etc.);",Important,Important,Important,Somewhat important,Very important,Communication and transparency,"Transparency in all collaborations, valuing everyone's inputs, and treating everyone equally",3,hosting conferences and networking oppourtunities across different domains..to get to know everyone's work in related topics/subjects,4
37,2010-09-23 13:59,2010-09-23 14:15,anonymous,Research,Academia ,Canada,Primary importance,Secondary importance,,,Tertiary importance,,,10,Infrequently,Infrequently,"Very often (e.g., weekly to monthly)","Often (e.g., quarterly)","Yes, with practitioners, policy-makers","Local municipal (for example, city pollinator protection plan, neighbourhood initiatives)",Very important,Somewhat important,Important,Somewhat important,Not important,Not important,Not important,Not important,Personnel turnover;,"End- finalizing outcomes, deliverables and wrapping up","I find that different sectors operate on different timelines so that deliverables are rarely ready in time for practitioners, or they are too preliminary to constitute a publishable scientific output",I worked on the development of a trait-based indicators for ecosystem functionality over a period of 5 years with private partners at WSP Inc.,"Published output (academic paper, report, etc.);Network expansion (broadening your professional network);",Very important,Important,Very important,Very important,Not important,,"It would be nice if time spent on relationship-building with partners could be counted to the same degree that time spent within the scientific community is (e.g. as ""service"")",3,,
38,2010-10-23 8:55,2010-10-23 9:52,anonymous,Policy,Government,Canada,Tertiary importance,Tertiary importance,Primary importance,Primary importance,Secondary importance,Primary importance,Primary importance,10,"Very often (e.g., weekly to monthly)","Very often (e.g., weekly to monthly)",Never,"Often (e.g., quarterly)",All of them.,"Local municipal (for example, city pollinator protection plan, neighbourhood initiatives)",Important,Very important,Somewhat important,Not important,Somewhat important,Somewhat important,Very important,Very important,Government's tendency to respond to human emotions as opposed to operating based on science.;,Beginning- getting a project/idea off the ground,"Science is not of interest to most government staff. The culture here is to react to media attention, not proactive thinking.","Topic: Flood protection project involving complete reconfiguration of the mouth of a river. Duration: 10+ years. Involved parties: government at all levels, government agencies such as conservation authorities and local businesses. ",Successful implementation (on the ground change or improvement);Media attention or recognition;,Not applicable,Very important,Not important,Not important,Not important,Dire need for flood protection.,Change in attitude towards decision-making: science is not always trusted and is sometimes seen as a deterrent. People are unwilling to commit the resources or take the risks necessary to effect change supported by science. Shifting the culture to accept science by having buy-in from staff at all levels and divisions will help greatly. Implementing more mandatory training based on science and dispelling myths and misconceptions may help. ,1,Change the organization culture from reactive to proactive.,1
39,2010-11-23 15:01,2010-11-23 15:06,anonymous,Management,Non-Governmental Organization (NGO),Canada,Secondary importance,Primary importance,Secondary importance,Secondary importance,Tertiary importance,Tertiary importance,,2,Never,"Very often (e.g., weekly to monthly)",Infrequently,"Often (e.g., quarterly)",,"Federal (for example, 2 Billion tree program, nature-smart climate solution fund)",Important,Somewhat important,Not important,Important,Important,Not applicable,Not applicable,Somewhat important,,Beginning- getting a project/idea off the ground,,,,,,,,,,,,,
40,2010-12-23 6:23,2010-12-23 6:32,anonymous,Management,Government,Canada,Tertiary importance,Tertiary importance,Primary importance,Tertiary importance,Tertiary importance,Secondary importance,,13,"Often (e.g., quarterly)","Often (e.g., quarterly)","Often (e.g., quarterly)",Infrequently,policy,"Federal (for example, 2 Billion tree program, nature-smart climate solution fund)",Somewhat important,Very important,Very important,Somewhat important,Not important,Very important,Somewhat important,Important,,"Middle- actively working together, maintaining momentum, logistical issues",it starts with momentum and engaged members and it looses steam along the way as other priorities take over and participants cannot continue to engage as their managers were not on board nor committed to their participation,"Topic - Urban Forestry Community of Practice - duration - Ongoing - Involved parties - Various GoC Departments, Academia and other organizations ","Community engagement or recognition (event participation, increased visitation, awards);Policy impact (recommendations, proof of concept, policy change, etc.);",Very important,Important,Not important,Not important,Somewhat important,,Executive Leadership Engagement,1,,
41,10-16-23 12:12:28,10-16-23 12:29:05,anonymous,Policy,Government,Canada,Primary importance,Secondary importance,Not applicable,Tertiary importance,Not applicable,Secondary importance,,25,"Very often (e.g., weekly to monthly)","Very often (e.g., weekly to monthly)","Very often (e.g., weekly to monthly)","Very often (e.g., weekly to monthly)",practitioner,"Federal (for example, 2 Billion tree program, nature-smart climate solution fund)",Very important,Somewhat important,Not important,Not important,Not important,Not important,Somewhat important,Not applicable,Lack of appropriate fora for practioners from across disciplines to engage in;,Beginning- getting a project/idea off the ground,collaboration across disciplines/departments is not encourage.  Lack of venues and means to do so at the working level.   ,"Sustainable development of herba mate for indigenous communities living in areas of high biodiversity.    Cross sectoral collaboration included gender specialist, agricultural advisors; small business entrepreneur, social scientist  and conservation biologist.    The project took place over 6 years so of the partners are still involved. ","Network expansion (broadening your professional network);Successful implementation (on the ground change or improvement);Future funding opportunities (grant application);Community engagement or recognition (event participation, increased visitation, awards);",Important,Very important,Important,Not important,Somewhat important,enlightened private sector partners.  ,"The problems society is currently tackling related to biodiversity conservation and climate change are what is called 'wicked problems' .   Wicked problems are problems with many interdependent factors making them seem impossible to solve as there is no definitive formula.   This types of challenges require interdisciplinary collaboration, and not just the usual types of collaborations, but widely diverge disciplines like economics.    It such case, cross sectoral engagment should be mandated and a requirement of all program development and implementation.  The needing time and resources need to be secured in advance to enable this to happen.      ",4,,
42,10-16-23 13:26:35,10-16-23 13:30:13,anonymous,Policy,Government,Canada,,,Primary importance,,,Primary importance,,6,"Very often (e.g., weekly to monthly)","Very often (e.g., weekly to monthly)","Very often (e.g., weekly to monthly)","Very often (e.g., weekly to monthly)",,"Federal (for example, 2 Billion tree program, nature-smart climate solution fund)",Very important,Important,Important,Not important,Not important,Not important,Not important,Not important,,"Middle- actively working together, maintaining momentum, logistical issues",,,"Published output (academic paper, report, etc.);Policy impact (recommendations, proof of concept, policy change, etc.);Successful implementation (on the ground change or improvement);",Important,Very important,Very important,Somewhat important,Somewhat important,,,,,
43,10-16-23 13:27:08,10-16-23 13:33:44,anonymous,Policy,Government,Canada,Secondary importance,Primary importance,Tertiary importance,Not applicable,Tertiary importance,Primary importance,Secondary importance,45,"Very often (e.g., weekly to monthly)","Often (e.g., quarterly)","Often (e.g., quarterly)","Often (e.g., quarterly)","Academia, practitioners","Federal (for example, 2 Billion tree program, nature-smart climate solution fund)",Very important,Important,Very important,Important,Somewhat important,Not important,Somewhat important,Not applicable,"Mandates (political, constitutional);","Middle- actively working together, maintaining momentum, logistical issues",It is difficult to maintain contacts and momentum when working across mandates and jurisdictions,,"Network expansion (broadening your professional network);Policy impact (recommendations, proof of concept, policy change, etc.);",Very important,Important,Very important,Somewhat important,Not important,,Broadening of traditional mandates,1,Identification of sustained funding and support,2
44,10-16-23 22:37:57,10-16-23 23:45:07,anonymous,Practictioner,private sector consulting,Canada,Primary importance,Primary importance,Primary importance,Primary importance,Primary importance,Primary importance,,40,"Very often (e.g., weekly to monthly)","Very often (e.g., weekly to monthly)",Infrequently,"Very often (e.g., weekly to monthly)",Academia,"Local municipal (for example, city pollinator protection plan, neighbourhood initiatives)",Very important,Not applicable,Not applicable,Somewhat important,Not applicable,Not applicable,Not applicable,Not applicable,,Beginning- getting a project/idea off the ground,,rain gardens as part of a street improvement,"Network expansion (broadening your professional network);Successful implementation (on the ground change or improvement);Media attention or recognition;Community engagement or recognition (event participation, increased visitation, awards);",Important,Important,Important,Not applicable,Important,,engineers and planners having a better understanding of what landscape architects can offer,5,,
45,10-17-23 10:16:49,10-17-23 10:39:00,anonymous,Policy,Government,Canada ,Tertiary importance,Secondary importance,Secondary importance,Not applicable,Primary importance,Primary importance,Primary importance,2,"Very often (e.g., weekly to monthly)","Very often (e.g., weekly to monthly)",Infrequently,Infrequently,practitioner,"Federal (for example, 2 Billion tree program, nature-smart climate solution fund)",Important,Important,Somewhat important,Not important,Not important,Not important,Not applicable,Not important,Communities of Practices in Canada;,,,,,,,,,,,,,,
46,10-17-23 17:52:09,10-17-23 18:03:34,anonymous,Practictioner,private practise,canada,Not applicable,Tertiary importance,Primary importance,Primary importance,Primary importance,Not applicable,,12,Never,"Often (e.g., quarterly)",Never,"Very often (e.g., weekly to monthly)",,"Local municipal (for example, city pollinator protection plan, neighbourhood initiatives)",Important,Important,Important,Important,Not important,Not applicable,Not important,Not applicable,,Beginning- getting a project/idea off the ground,,,"Successful implementation (on the ground change or improvement);Community engagement or recognition (event participation, increased visitation, awards);",Important,Important,Not applicable,Not applicable,Important,,,,,
47,10-17-23 16:14:57,10-18-23 9:39:20,anonymous,Research,Government,Canada,Tertiary importance,Not applicable,Primary importance,Tertiary importance,Tertiary importance,Tertiary importance,Not applicable,3,"Often (e.g., quarterly)","Very often (e.g., weekly to monthly)","Very often (e.g., weekly to monthly)",Never,,"Federal (for example, 2 Billion tree program, nature-smart climate solution fund)",Important,Important,Very important,Important,Important,Not applicable,Not applicable,Very important,,Beginning- getting a project/idea off the ground,Identifying collaborators and data sources and completing the background work,,,,,,,,,Research network to bring together different disciplines on the same topic,4,,
48,10-20-23 14:09:33,10-20-23 14:19:24,anonymous,Management,Government,Canada,Primary importance,Secondary importance,Tertiary importance,Primary importance,Tertiary importance,Secondary importance,,15,"Often (e.g., quarterly)","Often (e.g., quarterly)",Infrequently,"Often (e.g., quarterly)",Yes,"Local municipal (for example, city pollinator protection plan, neighbourhood initiatives)",Somewhat important,Somewhat important,Important,Somewhat important,Somewhat important,Not important,Somewhat important,Not important,,"End- finalizing outcomes, deliverables and wrapping up",I think whenever municipalities need to work with the province or the federal government there is a lack of time that federal and provincial politicians and bureaucrats have to give to a specific municipality.  That is the main barrier.,Protecting land for conservation in the north sector of Ste-Anne-de-Bellevue.  The end was owned by the province and we had to work with them to protect it.  At first they were very reluctant to protect it. It took a lot of lobbying on our part which culminated in one meeting where they announced its protection.,"Successful implementation (on the ground change or improvement);Media attention or recognition;Community engagement or recognition (event participation, increased visitation, awards);",Important,Important,Somewhat important,Not applicable,Not applicable,,"Annual meetings between municipal, provincial, and federal actors for each region that would identify areas for conservation and strategies to achieve that protection.",3,,
49,10-25-23 14:50:55,10-25-23 15:07:06,anonymous,Policy,Government,Canada,Primary importance,Secondary importance,Secondary importance,Tertiary importance,Primary importance,Primary importance,Primary importance,16,"Very often (e.g., weekly to monthly)","Very often (e.g., weekly to monthly)","Often (e.g., quarterly)","Often (e.g., quarterly)","Academia, Practitioner","Federal (for example, 2 Billion tree program, nature-smart climate solution fund)",Very important,Very important,,Somewhat important,,,,,,Beginning- getting a project/idea off the ground,"In government settings, each team/agency/department has its own mandate and objectives. If staff are approached by another team/agency/department or an external organization to participate in cross-sectoral collaboration, the decision whether or not to participate has to prioritize that person's and the team's mandate and objectives. If the person doesn't have time to participate and deliver on their own objectives, or the collaboration is not going to directly support the team's mandate, the decision is often to not participate.",I don't have a specific example I would like to share but I can weigh in on markers and factors of success. ,Successful implementation (on the ground change or improvement);,Somewhat important,Very important,Not important,Not important,Not important,,Emphasizing/recognizing the importance of cross-sectoral collaboration in team/agency/departmental mandates. This could help embed flexibility within staff work objectives to spend some of their time engaging in projects that aren't yet on their radar (e.g. so that if they are approached to engage in a project they know they will have time to participate).,4,,
50,10-27-23 13:18:52,10-27-23 13:28:31,anonymous,Management,Government,Canada,,Primary importance,,,,Secondary importance,,30,"Often (e.g., quarterly)","Often (e.g., quarterly)",Infrequently,Infrequently,yes,"Federal (for example, 2 Billion tree program, nature-smart climate solution fund)",Important,Important,Very important,Very important,Important,Important,Very important,Very important,,Beginning- getting a project/idea off the ground,"I've been working in my current position with no movement towards greening or sustainability for over 20 years, due to lack of interest","Brief Communities in Bloom collaboration with PRF, National Defense, Local Township","Network expansion (broadening your professional network);Successful implementation (on the ground change or improvement);Published output (academic paper, report, etc.);Media attention or recognition;Community engagement or recognition (event participation, increased visitation, awards);",Very important,Very important,Very important,Not applicable,Very important,Driven by determination ,Interaction between federal agencies at federal level.,1,study that could be done between departments,3
51,10-31-23 14:54:36,10-31-23 15:07:02,anonymous,Research,Academia ,Canada,Tertiary importance,Tertiary importance,Secondary importance,Tertiary importance,Primary importance,Secondary importance,Not applicable,10,Infrequently,"Often (e.g., quarterly)","Very often (e.g., weekly to monthly)",Infrequently,Maybe but I don't have the capacity to do more engagement at the moment,"Local municipal (for example, city pollinator protection plan, neighbourhood initiatives)",Very important,Important,Somewhat important,Not important,Not important,Not applicable,Somewhat important,Not applicable,,"End- finalizing outcomes, deliverables and wrapping up","It can be hard to devote time to creating non-academic resources for practice partners when my students and I are already busy creating the academic outputs. It would be great to have help from staff/comms to translate some of our research into more practice/policy-facing formats. We are starting to trial this with Tree Canada. I selected ""End"" above but I could also have selected ""Beginning."" I know what my research priorities are but I don't know if they align with the priorities and interests of practitioners, especially at the hyper-local scale. So that could also be a barrier/blind-spot.",Insight Development Grant on green gentrification in Canada. Named collaborators from Metro Vancouver and City of Surrey (staff on research team and grant proposal). 3-year duration.,"Published output (academic paper, report, etc.);Future funding opportunities (grant application);Media attention or recognition;Network expansion (broadening your professional network);Policy impact (recommendations, proof of concept, policy change, etc.);",Very important,Very important,Very important,Important,Important,Shared research interests and non-academic partners who are used to academic collaboration.,"More recognition and staff support for for non-academic outputs and practice-engaged work. (Sorry, I realize that is two things!)",3,,
52,10-31-23 15:11:43,10-31-23 15:19:02,anonymous,Research,Government,Canada,Not applicable,Not applicable,Primary importance,Not applicable,Not applicable,Secondary importance,,7,Infrequently,"Often (e.g., quarterly)","Very often (e.g., weekly to monthly)",Infrequently,Not necessarily,"Federal (for example, 2 Billion tree program, nature-smart climate solution fund)",Somewhat important,Not important,Not important,Important,Important,Not important,Very important,Not important,,Beginning- getting a project/idea off the ground,Realizing in the early stages that you are on different pages with mandates/goals,I have collaborated with Health Canada on multi-year research projects that aligns with joint mandates and interests.,"Published output (academic paper, report, etc.);Future funding opportunities (grant application);Media attention or recognition;Policy impact (recommendations, proof of concept, policy change, etc.);",Important,Not important,Important,Not important,Not important,,"Analysts or researchers who are the experts in the work are often not given the freedom to reach out. Rather, managers are in charge of these relationships but they are removed from the work/research and are ill-equipped to find partners and establish mutual understanding",5,,
53,10-31-23 15:32:56,10-31-23 15:38:23,anonymous,Research,Academia ,Colombia ,Secondary importance,Primary importance,Secondary importance,Secondary importance,Primary importance,Secondary importance,Primary importance,15,"Often (e.g., quarterly)","Very often (e.g., weekly to monthly)","Very often (e.g., weekly to monthly)","Very often (e.g., weekly to monthly)",Yes,"Local municipal (for example, city pollinator protection plan, neighbourhood initiatives)",Very important,Important,Important,Not important,Not important,Not important,Somewhat important,Not applicable,,Beginning- getting a project/idea off the ground,"You need to make options multiple. People are often unable to help due to lack of research (in the case of academia) resources that can be dedicated to the interaction. Simple things like money for meetings, travel, paying someone, are limited. ","Sorry, that's a long answer for an online survey. It demands yoo much time.. Happy to chat. ","Network expansion (broadening your professional network);Successful implementation (on the ground change or improvement);Published output (academic paper, report, etc.);Future funding opportunities (grant application);Media attention or recognition;Policy impact (recommendations, proof of concept, policy change, etc.);Community engagement or recognition (event participation, increased visitation, awards);",Very important,Very important,Important,Somewhat important,Somewhat important,,More money for interdisciplinary intersectorial collaborations,2,,
54,10-31-23 15:34:43,10-31-23 15:43:08,anonymous,Research,Academia ,Canada,Primary importance,Secondary importance,Tertiary importance,Not applicable,Not applicable,Not applicable,Not applicable,,Never,Infrequently,"Very often (e.g., weekly to monthly)",Infrequently,yes,"Local municipal (for example, city pollinator protection plan, neighbourhood initiatives)",Very important,Somewhat important,Not important,Important,Not important,Not important,Somewhat important,Not important,,"Middle- actively working together, maintaining momentum, logistical issues",Lack of time on both sides prevent continuous co-construction,biodiversity monitoring for municipalities/ NGO promoting alternate practices,"Network expansion (broadening your professional network);Successful implementation (on the ground change or improvement);Published output (academic paper, report, etc.);Media attention or recognition;",Not important,Very important,Important,Important,Not important,,More time for research,3,,
